 1-ий Богдана Хмельницького провулок                                      | 1-й Богдана Хмельницького провулок                                      | w188022086
 Басейний 3-й провулок                                                    | 3-й Басейний провулок                                                    | w387925055
 Басейний 6-й провулок                                                    | 6-й Басейний провулок                                                    | w387924977
 Береговий тупік                                                          | Береговий тупик                                                          | w372615528
 Більшовика Попова вулиця                                                 | Більшовика Попова вулиця                                                 | w93413873
 Богатикова Юрія вулиця                                                   | Юрія Богатикова вулиця                                                   | w334157448,w424498526,w61677624
 Богдана Скробута  вулиця                                                 | Богдана Скробута вулиця                                                  | w283557571
 Бойківська  вулиця                                                       | Бойківська вулиця                                                        | w237669994
 Бориса Грінченка 1-й провулок                                            | 1-й Бориса Грінченка провулок                                            | w197369537
 Бориса Грінченка 2-й провулок                                            | 2-й Бориса Грінченка провулок                                            | w197369732
 Борковського Ярослава вулиця                                             | Ярослава Борковського вулиця                                             | w436877359
 Букшованого Осипа вулиця                                                 | Осипа Букшованого вулиця                                                 | w33881620
 Вакульського Олександра вулиця                                           | Олександра Вакульського вулиця                                           | w49896154
 Варварівська  вулиця                                                     | Варварівська вулиця                                                      | w243184640
 Ватутіна 1-й провулок                                                    | 1-й Ватутіна провулок                                                    | w332270820
 Ватутіна 2-й провулок                                                    | 2-й Ватутіна провулок                                                    | n917755927,w332270857
 Вербицького Михайла вулиця                                               | Михайла Вербицького вулиця                                               | w454686617
 Вербный пер.                                                             | Вербный переулок                                                         | w404015268
 Верхньодніпровська  вулиця                                               | Верхньодніпровська вулиця                                                | w127029395
 Володимира Висоцького  вулиця                                            | Володимира Висоцького вулиця                                             | w380380915
 Володимира князя вулиця                                                  | Князя Володимира вулиця                                                  | w303598951,w430834532
 Володимира Свідзінського 1-й провулок                                    | 1-й Володимира Свідзінського провулок                                    | w210977411,w524381672
 Володимира Свідзінського 2-й провулок                                    | 2-й Володимира Свідзінського провулок                                    | w210977412,w524381677,w524381678,w524381681,w524381682
 Володимира Свідзінського 3-й провулок                                    | 3-й Володимира Свідзінського провулок                                    | w210977425,w524381688,w524381689
 Володимирський просп.                                                    | Володимирський проспект                                                  | w168994385
 Встречный пер.                                                           | Встречный переулок                                                       | w199914059
 Гагаріна 1-й провулок                                                    | 1-й Гагаріна провулок                                                    | w331050183,w331050234
 Гагаріна 2-й провулок                                                    | 2-й Гагаріна провулок                                                    | w331049908
 генерала Дерев'янка вулиця                                               | Генерала Дерев'янка вулиця                                               | w125587215
 генерала Карпенка                                                        | Генерала Карпенка вулиця                                                       | n5113312524
 Героїв Майдану                                                           | Героїв Майдану вулиця                                                          | n4257163189
 Героїв небесної сотні                                                    | Героїв Небесної Сотні вулиця                                                    | n4156363890
 гетьмана Івана Мазепи                                                    | Гетьмана Івана Мазепи вулиця                                                   | n4875372425
 гетьмана Сагайдачного провулок                                           | Гетьмана Сагайдачного провулок                                           | w199424251
 Гірнича вул.                                                             | Гірнича вулиця                                                           | w361927794
 Глінки Михайла вулиця                                                    | Михайла Глінки вулиця                                                    | w509971890
 Гогорішвілі Шота вулиця                                                  | Шота Гогорішвілі вулиця                                                  | w372615560
 Головатого Отамана вулиця                                                | Отамана Головатого вулиця                                                | w159801633
 Горишного                                                                | Горишного вулиця                                                               | n4226920095,w287833333
 Горького  вулиця                                                         | Горького вулиця                                                          | w450355202
 Грідротехнічний 1-й проїзд                                               | 1-й Грідротехнічний проїзд                                               | w349707359
 Грушевського провулок                                                    | Грушевського провулок                                                    | w346311120,w42465734,w42465811,w449848134,w449848135,w449848136
 Гурського Олексія вулиця                                                 | Олексія Гурського вулиця                                                 | w59818339
 Дачний 1-й провулок                                                      | 1-й Дачний провулок                                                      | w308270941
 Дачний 2-й провулок                                                      | 2-й Дачний провулок                                                      | w308270937
 Дачний провулок                                                          | Дачний провулок                                                          | w443379853
 Демидюка Дмитра вулиця                                                   | Дмитра Демидюка вулиця                                                   | w113945371
 Деревооброблювальний 2-й провулок                                        | 2-й Деревооброблювальний провулок                                        | w243780048
 Деревообробний 1-й провулок                                              | 1-й Деревообробний провулок                                              | w387654914
 Деревообробний 2-й провулок                                              | 2-й Деревообробний провулок                                              | w387654945
 Деревообробний 3-й провулок                                              | 3-й Деревообробний провулок                                              | w243780046
 Деревообробний 4-й провулок                                              | 4-й Деревообробний провулок                                              | w170063958
 Деревообробний 5-й провулок                                              | 5-й Деревообробний провулок                                              | w170063946
 Дніпровська вулиця                                                       | Дніпровська вулиця                                                       | w382326985
 Довженка Олександра вулиця                                               | Олександра Довженка вулиця                                               | w125174693,w125174700,w283556375,w443674191
 Дружби 1-й провулок                                                      | 1-й Дружби провулок                                                      | w197369538
 Дружби 2-й провулок                                                      | 2-й Дружби провулок                                                      | w128255062
 Дубініна Володі провулок                                                 | Володі Дубініна провулок                                                 | w372615519,w372615534
 Дудніченко Віктора вулиця                                                | Віктора Дудніченко вулиця                                                | w60199216
 Дяченка Петра вулиця                                                     | Петра Дяченка вулиця                                                     | w222871985
 Енергетиків 1-й проїзд                                                   | 1-й Енергетиків проїзд                                                   | w501703598
 Енергетиків 2-й проїзд                                                   | 2-й Енергетиків проїзд                                                   | w107531642
 Енергетиків 4-й проїзд                                                   | 4-й Енергетиків проїзд                                                   | w501704520
 Ессе Томаша вулиця                                                       | Томаша Ессе вулиця                                                       | w465515410
 Жовтнева вул.                                                            | Жовтнева вулиця                                                          | w321717651
 Заводська 1-а вулиця                                                     | 1-а Заводська вулиця                                                     | w486241884
 Заводська 2-а вулиця                                                     | 2-а Заводська вулиця                                                     | w387618562
 Заводська 3-я вулиця                                                     | 3-я Заводська вулиця                                                     | w317096474
 Заводська 4-а вулиця                                                     | 4-а Заводська вулиця                                                     | w285120342,w484823425
 Заводська 5-а вулиця                                                     | 5-а Заводська вулиця                                                     | w387618563
 Загребельного Павла вулиця                                               | Павла Загребельного вулиця                                               | w416929384,w435869429
 Залізничний 2-й провулок                                                 | 2-й Залізничний провулок                                                 | w556577991
 Залізничний 3-й провулок                                                 | 3-й Залізничний провулок                                                 | w74760364
 Залізничний 4-й провулок                                                 | 4-й Залізничний провулок                                                 | w556570040
 Залізничний провулок                                                     | Залізничний провулок                                                     | w393530819
 Залізняка Максима вулиця                                                 | Максима Залізняка вулиця                                                 | w512351591
 Запорізький 3-й провулок                                                 | 3-й Запорізький провулок                                                 | w311936245,w316970121,w316970151,w316970185,w316970211,w316970231,w323139752,w375786160
 Зарічна вул.                                                             | Зарічна вулиця                                                           | w149667100
 Захаріаді Олександра вулиця                                              | Олександра Захаріаді вулиця                                              | w437459156,w59818189
 Звягельський 1-й провулок                                                | 1-й Звягельський провулок                                                | w419937543,w419937546,w419937547,w419937548,w419937549,w419937550,w419937552,w419937553,w419937554,w419937555,w419937556,w419937557,w419937558,w419937559,w419937560,w419937561,w419937562,w419937563,w419937564,w419937565,w419937566,w419937567,w419937568,w419937569
 Звягельський 2-й провулок                                                | 2-й Звягельський провулок                                                | w419937544
 Зерова Миколи вулиця                                                     | Миколи Зерова вулиця                                                     | w143234531,w143234543
 Зубкова Івана вулиця                                                     | Івана Зубкова вулиця                                                     | w231123798
 Івана Пулюя 1-й проїзд                                                   | 1-й Івана Пулюя проїзд                                                   | w204414498
 Івана Пулюя 2-й проїзд                                                   | 2-й Івана Пулюя проїзд                                                   | w204414470,w552548007
 Івана Пулюя 3-й проїзд                                                   | 3-й Івана Пулюя проїзд                                                   | w500983476
 Івана Франка 1-й провулок                                                | 1-й Івана Франка провулок                                                | w332099072
 Івана Франка 2-й провулок                                                | 2-й Івана Франка провулок                                                | w332099077,w332099607
 Івана Франка 3-й провулок                                                | 3-й Івана Франка провулок                                                | w332099393
 Івана Франка 4-й провулок                                                | 4-й Івана Франка провулок                                                | w332099489
 Івана Франка 5-й провулок                                                | 5-й Івана Франка провулок                                                | w332099397
 Ізюмова Андрія вулиця                                                    | Андрія Ізюмова вулиця                                                    | w269493593
 Ізюмова Андрія провулок                                                  | Андрія Ізюмова провулок                                                  | w269493592
 Ізюмова Андрія проїзд                                                    | Андрія Ізюмова проїзд                                                    | w169276256,w269493595,w457084305,w457084310
 Ізюмська 2-а вулиця                                                      | 2-а Ізюмська вулиця                                                      | w39268866,w39268867
 ім. Гетьмана Виговського вулиця                                          | Гетьмана Виговського вулиця                                          | w292519579
 Йосипа Лапушкіна  провулок                                               | Йосипа Лапушкіна провулок                                                | w217983138,w39010342
 Калабаліна Семена вулиця                                                 | Семена Калабаліна вулиця                                                 | w106453731
 Калініна 2-й провулок                                                    | 2-й Калініна провулок                                                    | w167265418
 Калініна вулиця                                                          | Калініна вулиця                                                          | w398854377,w398855793
 Калнишевського Петра вулиця                                              | Петра Калнишевського вулиця                                              | w230368711
 Канцерова Олександра вулиця                                              | Олександра Канцерова вулиця                                              | n3276550494,n3276550495,w320947680,w335005131,w358901206,w359087195,w359087196,w361036150,w361036151,w361038465,w361038468,w361038471,w361038475,w361038476,w361038480,w361038482,w361038484,w361038485,w361038487,w361038488,w361038491,w361038493,w361038494,w361038498,w361038500,w361038501,w361038504,w361038505,w361038506,w361038507,w361038508,w361038509,w361038510,w361038512,w442632986,w469798106,w469798107,w469798108,w469798109,w469798110,w469798111,w526591570
 капітана Береста вулиця                                                  | Капітана Береста вулиця                                                  | w126603175
 Капніста Василя вулиця                                                   | Василя Капніста вулиця                                                   | w143085501
 Карла Маркса вулиця                                                      | Карла Маркса вулиця                                                      | w399080146
 Киевская ул.                                                             | Киевская улица                                                           | n4609462450
 Кипарисний 1-й провулок                                                  | 1-й Кипарисний провулок                                                  | w387898442
 Кипарисний 2-й провулок                                                  | 2-й Кипарисний провулок                                                  | w387898444
 Кипарисний 3-й провулок                                                  | 3-й Кипарисний провулок                                                  | w162396322
 Кия пров.                                                                | Кия провулок                                                             | w475887743,w504658375,w504658376,w504658377
 Кільченський 1-й провулок                                                | 1-й Кільченський провулок                                                | w556586861,w74760354
 Кільченський 2-й провулок                                                | 2-й Кільченський провулок                                                | w74760350,w74760394
 Кладбищенський 2-й провулок                                              | 2-й Кладбищенський провулок                                              | w51066996
 Ключевий 1-й провулок                                                    | 1-й Ключевий провулок                                                    | w387811634
 Ключевий 2-й провулок                                                    | 2-й Ключевий провулок                                                    | w387811636
 Княгини Ольги вулиця                                                     | Княгині Ольги вулиця                                                     | w153102269
 Княгинї Ольги вулиця                                                     | Княгині Ольги вулиця                                                     | w246173087
 князя Дмитра Вишневського вулиця                                         | Князя Дмитра Вишневського вулиця                                         | w168201268
 Колгоспна вул.                                                           | Колгоспна вулиця                                                         | w125816052
 Колеусівський 1-й провулок                                               | 1-й Колеусівський провулок                                               | w331413029,w331413038,w331413053,w518365279
 Колеусівський 2-й провулок                                               | 2-й Колеусівський провулок                                               | w390666509
 Колеусівський 4-й провулок                                               | 4-й Колеусівський провулок                                               | w151789286
 Колеусівський 5-й провулок                                               | 5-й Колеусівський провулок                                               | w390664908
 Комінтерна 1-й провулок                                                  | 1-й Комінтерна провулок                                                  | w243708566
 Комінтерна 2-й провулок                                                  | 2-й Комінтерна провулок                                                  | w243708548
 Комсомольський 1-й провулок                                              | 1-й Комсомольський провулок                                              | w342805789
 Комунальний пров.                                                        | Комунальний провулок                                                     | w313449006
 Кооперативна вулиця                                                      | Кооперативна вулиця                                                      | w415761359
 Короленка  вулиця                                                        | Короленка вулиця                                                         | w251246989
 Косарєва Олександра вулиця                                               | Олександра Косарєва вулиця                                               | w293484712,w397595911,w397595912
 Космодем'янської Зої вулиця                                              | Зої Космодем'янської вулиця                                              | w436608541
 Косовської Ольги проспект                                                | Ольги Косовської проспект                                                | w106453724
 Костанді 2-й провулок                                                    | 2-й Костанді провулок                                                    | w31515806
 Костанді 3-й провулок                                                    | 3-й Костанді провулок                                                    | w308270935
 Криничанська  вулиця                                                     | Криничанська вулиця                                                      | w159878668
 Крупської 1-й провулок                                                   | 1-й Крупської провулок                                                   | w176822092
 Крупської 2-й провулок                                                   | 2-й Крупської провулок                                                   | w176822131
 Кухаренка Якова вулиця                                                   | Якова Кухаренка вулиця                                                   | w232738435,w232738449,w373951962
 Ленина пер.                                                              | Ленина переулок                                                          | w149626358,w401030900
 Ленина улица                                                             | Ленина улица                                                             | w420791835
 Леніна                                                                   | Леніна вулиця                                                                  | n4181228990
 Леніна 1-й провулок                                                      | 1-й Леніна провулок                                                      | w402277198
 Леніна  2-й провулок                                                     | 2-й Леніна провулок                                                      | w149932855
 Лікарняна  вулиця                                                        | Лікарняна вулиця                                                         | w256446496
 Лісна  вулиця                                                            | Лісна вулиця                                                             | w452207366
 Лісний 1-й провулок                                                      | 1-й Лісний провулок                                                      | w228132912
 Лісовий 1-й провулок                                                     | 1-й Лісовий провулок                                                     | w376291991
 Лісовий 2-й провулок                                                     | 2-й Лісовий провулок                                                     | n4499484589,w376291988
 Лісовий 3-й провулок                                                     | 3-й Лісовий провулок                                                     | w176822098
 Лісовий 4-й провулок                                                     | 4-й Лісовий провулок                                                     | w176822097,w376336718
 Лобача Юрія вулиця                                                       | Юрія Лобача вулиця                                                       | w301228511,w411606487,w411606488,w411606489,w411606490,w411606491,w411606492,w411606494,w414807562,w414807563,w414807564,w414807565,w414807566,w523989899
 Локомотивная                                                             | Локомотивная улица                                                            | w209316254
 Львівський 2-й провулок                                                  | 2-й Львівський провулок                                                  | w389531912
 Мазепи 1-й провулок                                                      | 1-й Мазепи провулок                                                      | w330188956
 Мазепи 2-й провулок                                                      | 2-й Мазепи провулок                                                      | w330188903,w456114235,w456114236
 Мазепи Івана                                                             | Івана Мазепи вулиця                                                            | w227930805
 Мазепи Івана вулиця                                                      | Івана Мазепи вулиця                                                      | w125125911
 Майський 1-й провулок                                                    | 1-й Майський провулок                                                    | w389395520
 Майський 2-й провулок                                                    | 2-й Майський провулок                                                    | w360359373
 Майський 3-й провулок                                                    | 3-й Майський провулок                                                    | w179140003,w223880380
 Майський 4-й провулок                                                    | 4-й Майський провулок                                                    | w389395521
 Майський 5-й провулок                                                    | 5-й Майський провулок                                                    | w223881250
 Малам Олександра вулиця                                                  | Олександра Малам вулиця                                                  | w59826779
 Маланюка Євгена вулиця                                                   | Євгена Маланюка вулиця                                                   | w143085458
 Марії Демченко 1-а лінія                                                 | 1-а Марії Демченко лінія                                                 | w31766197
 Марії Литвиненко-Вольгемут 2-й провулок                                  | 2-й Марії Литвиненко-Вольгемут провулок                                  | w308431690,w308431691
 маршала Жукова                                                           | Маршала Жукова вулиця                                                          | w217177640
 Матросова вулиця                                                         | Матросова вулиця                                                         | w441573448,w441573509
 Матросова Олександра вулиця                                              | Олександра Матросова вулиця                                              | w93729294
 Мельничний 1-й провулок                                                  | 1-й Мельничний провулок                                                  | w542931551
 Мельничний 2-й провулок                                                  | 2-й Мельничний провулок                                                  | w368779295
 Миронюка Андрія вулиця                                                   | Андрія Миронюка вулиця                                                   | w517185243
 Мирошниченко 1-й въезд                                                   | 1-й Мирошниченко въезд                                                   | w188890105
 Мирошниченко 2-й въезд                                                   | 2-й Мирошниченко въезд                                                   | w188890110
 Мирошниченко 3-й въезд                                                   | 3-й Мирошниченко въезд                                                   | w188890096
 Миру  вулиця                                                             | Миру вулиця                                                              | w135902900
 Михайла Лермонтова  провулок                                             | Михайла Лермонтова провулок                                              | w493090196
 Михайла Фуштея вулиця                                                    | Михайла Фуштея вулиця                                                    | w261282650
 Мічуріна 2-й провулок                                                    | 2-й Мічуріна провулок                                                    | w167265434
 М. Козака вулиця                                                         | Козака М. вулиця                                                         | w298786711,w449033820,w449033838,w449033843,w449033844,w449033847,w449033851,w449033854,w449033857,w449033866,w449033868,w449033875,w449033880,w449033882,w449033885,w449033887,w449033893,w449033894,w449033897,w449033898,w449033900,w449033903,w449033904,w449033905,w449033907,w449033909,w449033910,w449033911,w481973951,w481973966
 мкрн 5-й Зарічний                                                        | 5-й мкрн Зарічний                                                        | n4557434094
 мкр-н Генерала Корявко                                                   | Генерала мкр-н Корявко                                                   | n3066573162
 Млинна вулиця 20                                                         | Млинна 20 вулиця                                                         | n5232727871
 Мозолевського Бориса вулиця                                              | Бориса Мозолевського вулиця                                              | w129014296
 молодёжный кв.                                                           | молодёжный квартал                                                       | w332077388
 Молодшого Сержанта Каравайського провулок                                | Сержанта Молодшого Каравайського провулок                                | w158026265
 Молодшого сержанта Сергія Гончаренка вулиця                              | Сержанта Сергія Молодшого Гончаренка вулиця                              | w337656602,w446151621,w446151636,w446408090,w446408188,w446408234,w446408308,w446408329
 Мостовий 1-й провулок                                                    | 1-й Мостовий провулок                                                    | w74760335
 Мостовий 2-й провулок                                                    | 2-й Мостовий провулок                                                    | w556573534
 Мостовий 3-й провулок                                                    | 3-й Мостовий провулок                                                    | w556580983,w556588072,w74760327,w74760388
 Набережная                                                               | Набережная                                                               | n4278565492
 Набережний 1-й провулок                                                  | 1-й Набережний провулок                                                  | w449177095,w547318151
 Набережний 2-й провулок                                                  | 2-й Набережний провулок                                                  | w74774665
 Набережний 3-й провулок                                                  | 3-й Набережний провулок                                                  | w74774657,w74774806
 на Гранітне через 6-й кар'єр                                             | 6-й на Гранітне через кар'єр                                             | w368793359,w369165046,w460014801
 Над Яром вулиця (діл.: 312-322)                                          | Над Яром (діл.: 312-322) вулиця                                          | w536054908
 Налічний 7-й провулок                                                    | 7-й Налічний провулок                                                    | w239081105
 Наталії та Мар’яна Височанських вулиця                                   | Мар’яна Наталії та Височанських вулиця                                   | w372868276
 Нафтовиків 3-й провулок                                                  | 3-й Нафтовиків провулок                                                  | w205324111
 нахимова                                                                 | нахимова                                                                 | n4272126890
 Нахімова 1-й тупик                                                       | 1-й Нахімова тупик                                                       | w446794658
 Нахімова 2-й тупик                                                       | 2-й Нахімова тупик                                                       | w500980582
 Незалежності 1-й в’їзд                                                   | 1-й Незалежності в’їзд                                                   | w188890098
 Незалежності 2-й в’їзд                                                   | 2-й Незалежності в’їзд                                                   | w188890072
 Незалежності вулиця (1-й міст)                                           | Незалежності (1-й міст) вулиця                                           | w319612674
 Незалежності  провулок                                                   | Незалежності провулок                                                    | w236838813
 Некрасова 1-й провулок                                                   | 1-й Некрасова провулок                                                   | w354415755
 Некрасова 2-й провулок                                                   | 2-й Некрасова провулок                                                   | w354415757
 Нескучный 1-й въезд                                                      | 1-й Нескучный въезд                                                      | w455141223,w455142178
 Нижня набережна вулиця                                                   | Нижня вулиця набережна                                                   | w231411585
 Нова 1-а вулиця                                                          | 1-а Нова вулиця                                                          | w199171849
 Нова 2-а вулиця                                                          | 2-а Нова вулиця                                                          | w199171857,w263931312
 Новая 3-я                                                                | 3-я Новая                                                                | w354863298
 Нове шосе 8                                                              | Нове 8 шосе                                                              | n4226514289
 Новообуховское шоссе 1                                                   | Новообуховское 1 шоссе                                                   | w383272277
 Носенка Івана вулиця                                                     | Івана Носенка вулиця                                                     | w372695943
 Об'їздна дорога навколо Рені                                             | Об'їздна навколо Рені дорога                                             | w486778036,w486778037,w486779460,w486779461,w486779462,w486779463,w532793688,w532793690,w532793695
 Овочева вулиця (діл.: 260-293)                                           | Овочева (діл.: 260-293) вулиця                                           | w536038683
 озен-бою проезд 2                                                        | озен-бою 2 проезд                                                        | n4413888389
 Океанская улица / Сарматская улица                                       | Океанская / Сарматская улица улица                                       | w287824927,w526520761
 Олександра Поля вулиця                                                   | Поля Олександра вулиця                                                   | n3464908838,n4541575192,n4590957397,n4590957398,n4625312368,n5016364831,n5241083193,w107486623,w115287959,w115288114,w115288157,w115297521,w130871977,w144979097,w319722648,w319722649,w321131331,w425184780,w466450130
 Олександра Поля площа                                                    | Поля Олександра площа                                                    | w30383274
 Олександра Поля проспект                                                 | Поля Олександра проспект                                                 | n3523429085,n3530288686,n5139343222,r7621111,w148341119,w148341120,w244865680,w345798441,w355400417,w364585061,w364585069,w364585070,w364585071,w462292057,w462292058,w493901533,w493901534,w493901535,w493901536,w494431223,w86970114,w86970123,w90151506,w91607855,w91607883,w91607889,w91607900,w91607905,w91607906,w91607949
 Омельчук Ірини провулок                                                  | Ірини Омельчук провулок                                                  | w143098696
 О Поля вулиця                                                            | Поля О вулиця                                                            | w452389940
 Орлика Пилипа вулиця                                                     | Пилипа Орлика вулиця                                                     | w413970044
 осаула Василя Бурки вулиця                                               | Василя осаула Бурки вулиця                                               | w281804801
 Остапа Вишні  вулиця                                                     | Остапа Вишні вулиця                                                      | w135902901
 отамана Тараса Боровця вулиця                                            | Отамана Тараса Боровця вулиця                                            | w479982451
 Павела Йозефа Шафарика вулиця                                            | Йозефа Павела Шафарика вулиця                                            | r2088180,w155581640,w156006591,w156009827,w36071593,w492743442
 Павленка генерала вулиця                                                 | Генерала Павленка вулиця                                                 | w170700487
 Папи Івана Павла ІІ вулиця                                               | Івана Папи Павла ІІ вулиця                                               | w73536982,w99849068
 Папи Івана Павла ІІ вулиця                                               | Павла Папи Івана ІІ вулиця                                               | w73536982,w99849068
 Парковий 1-й провулок                                                    | 1-й Парковий провулок                                                    | w334823900,w518100255,w518100260,w518100261,w518100264,w518100266,w518100268
 Парковий 2-й провулок                                                    | 2-й Парковий провулок                                                    | w390657491
 Парковий 4-й провулок                                                    | 4-й Парковий провулок                                                    | w518100256,w518100257,w518100258,w518100259,w518194419,w518194420,w518194421,w518194422,w518194423,w518194425
 пер. Ароматный                                                           | Ароматный переулок                                                       | n5182349021
 Первомайський провулок                                                   | Первомайський провулок                                                   | w149851885
 пер. Гвардейский                                                         | Гвардейский переулок                                                     | w333252606
 Переїзд до вул. Лугова                                                   | Переїзд до Лугова вулиця                                                 | w159958440
 Пересипський 1-й провулок                                                | 1-й Пересипський провулок                                                | w51139268
 переулок Пионерский                                                      | Пионерский переулок                                                      | n4133266545
 пер. Каштановый                                                          | Каштановый переулок                                                      | w202338947
 пер. Новий                                                               | Новий переулок                                                           | w362079961
 пер. Новый                                                               | Новый переулок                                                           | w362079958,w362079960
 пер. Огарева                                                             | Огарева переулок                                                         | n5277512621
 пер. Станкостроительный                                                  | Станкостроительный переулок                                              | w86545677
 пер. Чкалова                                                             | Чкалова переулок                                                         | n4706139089
 пер. Шкільний                                                            | Шкільний переулок                                                        | n4599267791
 першодрукаря Івана Федорова  вулиця                                      | Івана першодрукаря Федорова вулиця                                       | w279613532
 першодрукаря Івана Федорова вулиця                                       | Івана першодрукаря Федорова вулиця                                       | w161808204,w360503075
 першодрукаря Івана Федорова провулок                                     | Івана першодрукаря Федорова провулок                                     | w361127956,w361127957
 Петра Курінного вулиця                                                   | Курінного Петра вулиця                                                   | w37615651,w39724144,w39724145,w39724146,w39724148,w39724150,w39724156,w39724157,w499280737
 Петрівський 1-й провулок                                                 | 1-й Петрівський провулок                                                 | w435898667
 Петрівський 2-й провулок                                                 | 2-й Петрівський провулок                                                 | w435898668
 Петрівський 3-й провулок                                                 | 3-й Петрівський провулок                                                 | w435898669
 Петруся Якова вулиця                                                     | Якова Петруся вулиця                                                     | w176149652,w302617769,w307775385
 Петруся Якова провулок                                                   | Якова Петруся провулок                                                   | w305349528
 Пилипа Орлика 1-й провулок                                               | 1-й Пилипа Орлика провулок                                               | w355665945
 Пилипа Орлика 2-й провулок                                               | 2-й Пилипа Орлика провулок                                               | w355665952
 Пиянзина провулок; Марини Раскової провулок                              | Марини Пиянзина провулок; Раскової провулок                              | w135684332
 Південний провулок                                                       | Південний провулок                                                       | w443379854
 Піонерської Слави вулиця                                                 | Слави Піонерської вулиця                                                 | w248125678,w250535551
 Плавневий пров.                                                          | Плавневий провулок                                                       | w163400447,w503983381,w503983382
 пл. Єдності                                                              | Єдності площа                                                            | n4691948515,w509237338
 пл. Октября                                                              | Октября площа                                                            | r5668907,w346366471
 Площа Героїв                                                             | Героїв Площа                                                             | n4375604994
 площадь Амет-Хана Султана                                                | Султана Амет-Хана площадь                                                | w264416874,w264416875,w264416876,w264416877,w264416880,w264416882,w60961486
 пл. Привокзальна                                                         | Привокзальна площа                                                       | n5274194224
 пл. Ринок                                                                | Ринок площа                                                              | w436145689
 пл. Тараса Шевченка, 2                                                   | Тараса Шевченка, 2 площа                                                 | n5242531852
 Полеглих Героїв вулиця                                                   | Героїв Полеглих вулиця                                                   | w193678957,w337175494
 полковника Болбочана вулиця                                              | Полковника Болбочана вулиця                                              | w282641972
 Польовий 17-й провулок                                                   | 17-й Польовий провулок                                                   | w376295941
 Польовий 18-й провулок                                                   | 18-й Польовий провулок                                                   | w376295942
 Польовий 19-й провулок                                                   | 19-й Польовий провулок                                                   | w376295943
 Польовий 1-й провулок                                                    | 1-й Польовий провулок                                                    | w176822103,w376285424,w376286854
 Польовий 2-й провулок                                                    | 2-й Польовий провулок                                                    | w176822111,w376286273
 Польовий 3-й провулок                                                    | 3-й Польовий провулок                                                    | w176822119
 Польовий 4-й провулок                                                    | 4-й Польовий провулок                                                    | w176822118,w376286280
 Польовий 5-й провулок                                                    | 5-й Польовий провулок                                                    | w376286274
 Польовий 6-й провулок                                                    | 6-й Польовий провулок                                                    | w376286275
 Польовий 7-й провулок                                                    | 7-й Польовий провулок                                                    | w376286276,w376286278,w376286279
 Польовий 8-й провулок                                                    | 8-й Польовий провулок                                                    | w376286277
 Польовий  провулок                                                       | Польовий провулок                                                        | w452634313
 Потёмкинский проезд (Святославский проезд)                               | Потёмкинский (Святославский проезд) проезд                               | w292386280
 пр генерала острякова                                                    | Генерала пр острякова                                                    | w168985843
 Приміcька 2-а вулиця                                                     | 2-а Приміcька вулиця                                                     | w186637121,w484826479
 Приміcька 4-а вулиця                                                     | 4-а Приміcька вулиця                                                     | w186637132
 пров. А. Міцкевича                                                       | А. Міцкевича провулок                                                    | w222576758
 пров. Береговий                                                          | Береговий провулок                                                       | w399173603
